run_at,date,time,country,collection,category,rank,prev_rank,change,app_id,title,score,developer
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,20,19,-1,com.fatmerge.global,Tasty Travels: Merge Game,4.41,Century Games PTE. LTD.
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,21,14,-7,com.fun.lastwar.gp,Last War:Survival Game,4.51,FUNFLY PTE. LTD.
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,22,22,0,com.readygo.barrel.gp,Last Z: Survival Shooter,4.3,Omnilojo Pte Ltd
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,23,23,0,com.ludo.king,Ludo King®,3.98,Gametion
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,24,24,0,com.yalla.yallagames,Yalla Ludo - Ludo&Jackaroo,3.7,Aviva Sun
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,25,25,0,com.miniclip.eightballpool,8 Ball Pool,4.7,Miniclip.com
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,1,1,0,com.easybrain.arrow.puzzle.game,Arrow Puzzle: Tap Puzzle Games,4.57,Easybrain
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,2,2,0,com.ludo.king,Ludo King®,3.98,Gametion
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,3,3,0,com.dts.freefiremax,Free Fire MAX,4.34,GARENA INTERNATIONAL I
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,4,4,0,com.miniclip.carrom,Carrom Pool: Disc Game,4.58,Miniclip.com
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,5,5,0,com.monopoly.dream.idle.king,Top Tycoon: Coin Theme Empire,4.73,BeheFun Games Limited
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,6,8,+2,com.rioo.runnersubway,Subway Princess Runner,4.02,Ivy
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,7,10,+3,com.Rohit.IndianBikes,Indian Bikes Driving 3D,4.17,Rohit Gaming Studio
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,8,7,-1,com.ta.strike.ops,FPS Strike Ops : Modern Arena,4.25,FPS Shooter & Action Game
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,9,9,0,com.imangi.templerun2,Temple Run 2: Endless Escape,4.06,Imangi Studios
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,10,6,-4,com.pubg.imobile,BGMI: FPS Battle Royale,4.37,"KRAFTON, Inc."
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,11,11,0,com.oakever.arrows,Amaze GO!,4.39,Oakever Games
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,12,12,0,com.ecffri.arrows,Arrows – Puzzle Escape,4.58,Lessmore GmbH
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,13,15,+2,io.voodoo.paper2,Paper.io 2,4.3,VOODOO
2026-07-27 22:54:45 IST,2026-07-27,22:54,IN,TOP_FREE,GAME,14,13,-1,com.casuper.arrow,Cash Arrows,4.54,StatusWorld
